x,y2,ptime,flow,pressureA,pressureB
0.0003418102269619907,-0.01861278772113049,0.0033333333333333335,2,4308,4323
0.0006836204539239814,-0.005437178610884451,0.006666666666666667,2,4301,4316
0.001025430680885972,0.003056401137114471,0.01,2,4293,4308
0.0013672409078479629,0.006976570893020813,0.013333333333333334,2,4286,4308
0.0017090511348099536,0.0050164815918592445,0.016666666666666666,2,4286,4308
0.002050861361771944,-0.0008637332337394994,0.02,2,4286,4308
0.002392671588733935,-0.005328287613991266,0.02333333333333333,2,4293,4308
0.0027344818156959257,-0.009683906194236399,0.02666666666666667,2,4293,4316
0.0030762920426579163,-0.008159444660089778,0.030000000000000002,2,4293,4316
0.0034181022696199072,-0.011208362377187916,0.03333333333333333,2,4293,4316
0.003759912496581898,-0.006526087078244886,0.03666666666666667,2,4293,4316
0.004101722723543888,-0.004021593521617187,0.04,2,4293,4316
0.00444353295050588,0.005887631300289533,0.043333333333333335,2,4293,4316
0.00478534317746787,0.00959003705581491,0.04666666666666666,2,4293,4316
0.005127153404429861,0.01525260102843945,0.05,2,4293,4316
0.005468963631391851,0.015579289664080693,0.05333333333333334,2,4293,4316
0.005810773858353842,0.017321633204781854,0.056666666666666664,2,4293,4316
0.0061525840853158325,0.0177572201821341,0.060000000000000005,2,4293,4316
0.006494394312277824,0.016450460560657274,0.06333333333333332,2,4293,4316
0.0068362045392398145,0.012312414365820272,0.06666666666666667,2,4293,4316
0.007178014766201805,0.010461195938330607,0.07,2,4293,4316
0.007519824993163796,0.011550146998830321,0.07333333333333333,2,4293,4316
0.007861635220125786,0.013619161536204826,0.07666666666666666,2,4293,4316
0.008203445447087777,0.018301704518176344,0.08,2,4293,4316
0.008545255674049767,0.020261853780272,0.08333333333333333,2,4293,4316
0.00888706590101176,0.025706759261238037,0.08666666666666667,2,4293,4316
0.009228876127973748,0.028647036605639112,0.09000000000000001,2,4293,4316
0.00957068635493574,0.027340244217235778,0.09333333333333332,2,4293,4316
0.00991249658189773,0.022984297987648086,0.09666666666666666,2,4293,4316
0.010254306808859722,0.01710383987989173,0.1,2,4301,4316
0.010596117035821712,0.01547039342495837,0.10333333333333333,2,4301,4323
0.010937927262783703,0.010570090921468595,0.10666666666666667,2,4301,4323
0.011279737489745693,0.008392196445676193,0.11,2,4301,4323
0.011621547716707684,0.009807826612574285,0.11333333333333333,2,4301,4323
0.011963357943669675,0.012203518945799019,0.11666666666666667,2,4301,4323
0.012305168170631665,0.016994943258453535,0.12000000000000001,2,4301,4323
0.012646978397593656,0.027449143432728928,0.12333333333333334,2,4301,4323
0.012988788624555648,0.03507215637628427,0.12666666666666665,2,4301,4323
0.013330598851517638,0.038883713025121724,0.13,2,4301,4323
0.013672409078479629,0.04029944258619103,0.13333333333333333,2,4301,4323
0.01401421930544162,0.04051724754363008,0.13666666666666666,2,4301,4323
0.01435602953240361,0.036052267748151276,0.14,2,4301,4323
0.0146978397593656,0.03136953337755796,0.14333333333333334,2,4301,4323
0.015039649986327591,0.02777584124312373,0.14666666666666667,2,4301,4323
0.015381460213289583,0.019499572460391183,0.15,2,4301,4323
0.015723270440251572,0.01993516162220693,0.15333333333333332,2,4301,4323
0.016065080667213565,0.01982626429079533,0.15666666666666668,2,4301,4323
0.016406890894175553,0.025162265641177906,0.16,2,4301,4323
0.016748701121137542,0.029844933082646834,0.16333333333333336,2,4301,4323
0.017090511348099535,0.035289958712193446,0.16666666666666666,2,4301,4323
0.017432321575061527,0.040843955184682354,0.16999999999999998,2,4301,4323
0.01777413180202352,0.04716035121958734,0.17333333333333334,2,4301,4323
0.018115942028985508,0.04912063073721155,0.17666666666666667,2,4301,4323
0.018457752255947497,0.044328851981482224,0.18000000000000002,2,4301,4323
0.01879956248290949,0.04215078820654148,0.18333333333333332,2,4301,4323
0.01914137270987148,0.04095285778629943,0.18666666666666665,2,4301,4323
0.019483182936833474,0.03757688983427023,0.19,2,4301,4323
0.01982499316379546,0.03659677502161678,0.19333333333333333,2,4301,4323
0.02016680339075745,0.0325674373640057,0.19666666666666668,2,4301,4323
0.020508613617719443,0.03746798807912056,0.2,2,4301,4323
0.020850423844681436,0.042368594092426826,0.2033333333333333,2,4301,4323
0.021192234071643425,0.04999186891848621,0.20666666666666667,2,4301,4323
0.021534044298605413,0.05304121631696859,0.21,2,4301,4323
0.021875854525567406,0.05696183729017079,0.21333333333333335,2,4301,4323
